    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
  143; [38]/R[23]; [39]/S[33];       [40];     /R[33];       [42];           ;     /S[23];           ;
  144;     /R[23]; [39]/R[27];       [40];       [41];       [42];     /S[27];     /S[23];           ;
  145;     /R[33]; [44]/S[33];       [40];       [41];       [42];           ;           ;           ;
  146; [43]/S[31]; [44]/S[28];     /R[31];       [41]; [42]/R[20];     /S[20];     /R[28];           ;
  147;       [43]; [44]/S[33];     /S[21];       [41];     /R[21];     /R[24];           ;     /S[24];
  148;       [43]; [44]/S[33];       [45];           ;     /R[33];     /R[24];           ;     /S[24];
  149;       [43];     /R[32];       [45];           ;       [46];     /R[33];           ;     /S[32];
  150;           ;     /R[32];       [45];           ;       [46];       [47];     /R[33];     /S[32];
  151;           ; [49]/S[33];       [45];           ;       [46];       [47];       [48];           ;
  152;           ; [49]/S[33];           ;           ;       [46];       [47];       [48];           ;
  153;     /R[35]; [49]/S[35];           ;           ;           ;       [47];       [48];           ;
  154;     /R[36];       [49];     /S[36];           ;           ;           ;       [48];           ;
  155;     /S[38];     /R[38];     /R[42];     /S[37];     /S[42];           ;           ;           ;
  156;     /S[43];     /R[40];     /R[43];     /S[37];           ;           ;           ;           ;
  157;       [50];     /S[44];     /R[44];     /S[41];           ;           ;           ;           ;
  158;       [50];       [51];       [52];     /R[46];     /S[46];           ;           ;           ;
  159;       [50];       [51]; [52]/S[40];     /R[47];           ;     /S[47];           ;           ;
  160;       [50];       [51];       [52];     /R[47];           ;     /S[47];           ;           ;
  161;       [50];       [51];       [52];     /R[48];           ;           ;     /S[48];           ;
  162;       [50];       [51];       [52];     /R[48];           ;           ;     /S[48];           ;
  163;       [50]; [51]/S[49];       [52];     /R[49];           ;           ;           ;           ;
  164;       [50];       [51];       [52];       [53];           ;           ;           ;           ;
  165;       [50];       [51];       [52];       [53];           ;           ;           ;           ;
  166;       [50];       [51];       [52];       [53];           ;           ;           ;           ;
  167;       [50];       [51];       [52];       [53];           ;           ;           ;           ;
  168;       [50];       [51];       [52];       [53];           ;           ;           ;           ;
  169;       [50];       [51];       [52];       [53];           ;           ;           ;           ;
  170;       [50];       [51];       [52];       [53];           ;           ;           ;           ;
  171;       [50];       [51];       [52];       [53];           ;           ;           ;           ;
  172;       [50];       [51];       [52];       [53];           ;           ;           ;           ;
  173;           ;       [51];       [52];       [53];           ;           ;           ;           ;
  174;           ;           ;           ;       [53];           ;           ;           ;           ;
  175;           ;           ;           ;       [53];           ;           ;           ;           ;
  176;           ;           ;           ;       [53];           ;           ;           ;           ;
  177;           ;           ;           ;       [53];           ;           ;           ;           ;
  178;           ;           ;           ;       [53];           ;           ;           ;           ;
  179;           ;           ;           ;       [53];           ;           ;           ;           ;
