    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
  112;           ;     /R[33];     /S[24];     /R[33];     /R[33];     /R[31];     /R[20];     /R[24];       [37];     /R[18];     /S[28];       [40];       [35]; [36]/S[18];     /R[28];       [32];
  113;           ;     /R[33];     /S[24];       [43];     /R[33];     /R[33];     /R[21];     /R[24];       [37];     /S[21];     /S[28];       [40];       [35];       [36];     /R[28];       [32];
  114;           ;     /R[33];     /R[33];       [43];       [44];     /R[33];     /R[21];     /R[33];       [37];     /S[21];       [39];       [40];           ;           ; [48]/S[20];       [32];
  115;           ;       [41];       [42];       [43];       [44];     /R[33];     /R[33]; [47]/S[31];       [37];       [38];       [39];       [40];           ;           ; [48]/S[33];       [32];
  116;           ;       [41];       [42];       [43];       [44]; [45]/S[30];     /R[33]; [47]/S[31];           ;       [38];       [39];           ;           ;           ; [48]/S[33];       [32];
  117;           ;       [41];       [42];           ;       [44];       [45];       [46];       [47];           ;       [38];       [39];           ;           ;           ; [48]/S[33];       [32];
  118;           ;       [41];       [42];           ;           ;       [45];       [46];       [47];           ;       [38];           ;           ;     /S[35];           ;     /R[35];       [32];
  119;           ;           ;     /R[43];     /S[43];           ;       [45];       [46];           ;           ;           ;           ;           ;           ;     /S[36];     /R[36];       [32];
  120;           ;           ;     /R[43];     /S[43];           ;           ;       [46];           ;     /S[37];           ;           ;           ;           ;           ;     /R[37];       [32];
  121;           ;           ;     /R[44];           ;     /S[44];           ;           ;           ;     /S[37];           ;           ;           ;           ;           ;     /R[37];       [32];
  122;           ;           ;     /R[45];           ;           ;     /S[45];           ;           ;           ;     /R[39];     /S[39];           ;           ;           ; [50]/S[33];       [32];
  123;           ;           ;       [52];           ;           ;           ;           ;           ;           ;     /R[39];     /S[39];           ;           ;           ;       [50];       [32];
  124;     /R[32];           ;       [52];           ;           ;           ;           ;           ;           ;     /R[39];     /S[39];           ;           ;           ;       [50]; [32]/S[32];
  125;     /R[32];           ;       [52];           ;           ;           ;           ;           ;           ;     /R[40];           ;     /S[40];           ;           ;       [50];     /S[32];
  126;     /R[32];           ;       [52];           ;           ;           ;           ;           ;           ;     /R[40];           ;     /S[40];           ;           ;       [50];     /S[32];
  127;     /R[32];           ;       [52];           ;           ;           ;           ;           ;           ;     /R[40];           ;     /S[40];           ;           ;       [50];     /S[32];
  128;     /R[33];     /S[41];       [52];           ;           ;           ;           ;           ;           ;     /R[41];           ;           ;           ;           ;       [50];           ;
  129;     /R[33];     /S[41];       [52];           ;           ;           ;           ;           ;           ;     /R[41];           ;           ;           ;           ;       [50];           ;
  130;     /R[33];           ;       [52];           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ;       [50];           ;
  131;       [49];           ;       [52];           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ;       [50];           ;
  132;       [49];           ;       [52];           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ; [50]/S[33];           ;
  133;       [49];           ;       [52];           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ; [50]/S[33];           ;
  134;       [49];     /R[46];       [52];           ;           ;           ;     /S[46];           ;           ;       [51];           ;           ;           ;           ; [50]/S[33];           ;
  135;           ;     /R[46];       [52];           ;           ;           ;     /S[46];           ;           ;       [51];           ;           ;           ;           ;       [50];           ;
  136;           ;     /R[47];       [52];           ;           ;           ;           ;     /S[47];           ;       [51];           ;           ;           ;           ;       [50];           ;
  137;           ;     /R[47];       [52];           ;           ;           ;           ;     /S[47];           ;       [51];           ;           ;           ;           ;       [50];           ;
  138;           ;     /R[48];       [52];           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ;     /S[48];           ;
  139;           ;     /R[48];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ;     /S[48];           ;
  140;           ;     /R[48];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ;     /S[48];           ;
  141;     /S[49];     /R[49];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ;           ;           ;
  142;           ;       [53];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ;           ;           ;
  143;           ;       [53];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ;           ;           ;
  144;           ;       [53];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ;           ;           ;
  145;           ;       [53];           ;           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ;           ;           ;
  146;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  147;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  148;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  149;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  150;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  151;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  152;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  153;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  154;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  155;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  156;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
  157;           ;       [53];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
