    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
  171;     /R[36];       [51];           ;     /R[46];     /S[46];     /S[36];           ;       [52];
  172;     /R[37];       [51];           ;     /R[46];     /S[46];           ;     /S[37];       [52];
  173;     /R[37];       [51];           ;     /R[46];     /S[46];           ;     /S[37];       [52];
  174;       [50];       [51];           ;     /R[47];           ;           ;           ; [52]/S[47];
  175;       [50]; [51]/S[48];           ;     /R[48];           ;           ;           ;       [52];
  176;       [50];       [51];     /S[49];     /R[49];           ;           ;           ;       [52];
  177;       [50];       [51];           ;       [53];           ;           ;           ;       [52];
  178;       [50];       [51];           ;       [53];           ;           ;           ;       [52];
  179;       [50];       [51];           ;       [53];           ;           ;           ;       [52];
  180;       [50];       [51];           ;       [53];           ;           ;           ;       [52];
  181;       [50];       [51];           ;       [53];           ;           ;           ;       [52];
  182;       [50];       [51];           ;       [53];           ;           ;           ;       [52];
  183;       [50];       [51];           ;       [53];           ;           ;           ;       [52];
  184;       [50];       [51];           ;       [53];           ;           ;           ;           ;
  185;       [50];       [51];           ;       [53];           ;           ;           ;           ;
  186;       [50];           ;           ;       [53];           ;           ;           ;           ;
  187;       [50];           ;           ;       [53];           ;           ;           ;           ;
  188;       [50];           ;           ;       [53];           ;           ;           ;           ;
  189;       [50];           ;           ;       [53];           ;           ;           ;           ;
  190;           ;           ;           ;       [53];           ;           ;           ;           ;
  191;           ;           ;           ;       [53];           ;           ;           ;           ;
  192;           ;           ;           ;       [53];           ;           ;           ;           ;
