    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
  121;           ;       [31];       [32];     /R[25];           ;       [30];     /S[25];       [35];
  122;           ; [31]/R[33];       [32]; [36]/S[33];           ;       [30];           ;       [35];
  123;     /R[29];       [38];       [32]; [36]/S[26];     /S[29];       [30];           ;     /R[26];
  124;     /R[33];       [38];     /R[22]; [36]/S[33];     /S[22];           ;           ;           ;
  125;     /R[33];       [38];     /R[22];     /S[33];     /S[22];           ;           ;           ;
  126;       [37];           ;     /R[33];     /R[30];           ;     /S[30];           ;           ;
  127;       [37];           ;       [39];     /R[30];           ;     /S[30];           ;     /R[33];
  128;       [37];           ;       [39]; [41]/S[33];           ;           ;           ;       [40];
  129;           ;     /R[19]; [39]/S[19]; [41]/S[33];           ;           ;           ;       [40];
  130;     /S[27];     /R[19];     /S[19]; [41]/R[27];           ;           ;           ;       [40];
  131;     /S[27];     /R[33];     /R[23];     /R[27];           ;     /S[23];           ;           ;
  132;           ; [42]/S[31];     /R[23]; [44]/S[33];           ;     /S[23];           ;     /R[31];
  133;     /R[20]; [42]/S[31];     /R[23];       [44];           ;     /S[23];     /S[20];     /R[31];
  134;     /R[20];       [42];     /R[33]; [44]/S[33];           ;           ;     /S[20];     /R[33];
  135;     /R[21];     /R[24]; [43]/S[32];     /R[28];           ;     /R[32];           ; [45]/S[28];
  136;     /R[21];     /R[24]; [43]/S[32]; [48]/S[21];           ;     /R[32];           ; [45]/S[24];
  137;     /R[33];     /R[33]; [43]/S[32]; [48]/S[21];           ;     /R[32];           ;       [45];
  138;     /R[33];       [47];     /R[34]; [48]/S[34];           ;     /R[33];           ;           ;
  139;       [46];       [47];     /R[35];     /S[33];           ;     /R[33];           ;     /S[35];
  140;       [46];       [47];     /R[35];           ;           ;       [49];           ;     /S[35];
  141;       [46];           ;     /R[36];     /S[36];           ;       [49];           ;           ;
  142;           ;           ;     /R[37];           ;           ;       [49];           ;           ;
  143;     /R[38];     /S[38];       [50];           ;           ;           ;           ;           ;
  144;     /R[39];     /S[42]; [50]/S[39];     /R[42];           ;           ;           ;           ;
  145;     /S[46];     /R[46]; [50]/S[43];     /R[43];           ;           ;           ;     /S[40];
  146;     /R[40];     /R[48];       [50];     /S[48];           ;           ;           ;     /S[45];
  147;     /R[40];     /R[49];       [50];       [52];           ;     /S[49];           ;     /S[40];
  148;     /R[41];       [53];       [50];       [52];           ;           ;           ;           ;
  149;     /R[41];       [53];       [50];       [52];           ;           ;           ;           ;
  150; [51]/S[37];       [53];       [50]; [52]/S[41];           ;           ;           ;           ;
  151;       [51];       [53];       [50]; [52]/S[41];           ;           ;           ;           ;
  152;       [51];       [53];       [50];       [52];           ;           ;           ;           ;
  153;       [51];       [53];       [50];       [52];           ;           ;           ;           ;
  154;       [51];       [53];       [50];       [52];           ;           ;           ;           ;
  155;       [51];       [53];           ;       [52];           ;           ;           ;           ;
  156;       [51];       [53];           ;       [52];           ;           ;           ;           ;
  157;       [51];       [53];           ;       [52];           ;           ;           ;           ;
  158;       [51];       [53];           ;       [52];           ;           ;           ;           ;
  159;       [51];       [53];           ;           ;           ;           ;           ;           ;
  160;       [51];           ;           ;           ;           ;           ;           ;           ;
  161;       [51];           ;           ;           ;           ;           ;           ;           ;
