    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
  130;       [42];     /R[33];     /R[33];     /R[33];       [43]; [44]/S[23]; [48]/S[33];           ;
  131;       [42];       [46];       [47];       [49];     /R[34];       [44];     /S[34];           ;
  132;     /S[35];       [46];       [47]; [49]/S[38];     /R[35];           ;     /R[38];           ;
  133;           ;       [46]; [47]/S[21];       [49];     /S[39];           ;     /R[39];           ;
  134;     /R[43];           ;           ;     /S[41]; [50]/S[43];           ;     /R[41];           ;
  135;     /R[44];           ;           ;           ;       [50];     /S[44];       [51];           ;
  136;     /R[44];           ;           ;           ;       [50];     /S[44]; [51]/S[37];           ;
  137;     /R[44];     /R[47];     /S[47];           ;       [50];     /S[44];       [51];           ;
  138;     /R[45];     /R[48];           ;           ;       [50];           ; [51]/S[48];     /S[45];
  139;     /R[45];     /R[48];           ;           ;       [50];           ; [51]/S[48];     /S[45];
  140;     /R[45];     /R[49];           ;     /S[49];       [50];           ;       [51];     /S[45];
  141;       [52];       [53];           ;           ;       [50];           ;       [51];           ;
  142;       [52];       [53];           ;           ;       [50];           ;       [51];           ;
  143;       [52];       [53];           ;           ;       [50];           ;       [51];           ;
  144;       [52];       [53];           ;           ;       [50];           ;       [51];           ;
  145;       [52];       [53];           ;           ;       [50];           ;       [51];           ;
  146;       [52];       [53];           ;           ;           ;           ;       [51];           ;
  147;       [52];       [53];           ;           ;           ;           ;           ;           ;
  148;       [52];       [53];           ;           ;           ;           ;           ;           ;
  149;       [52];       [53];           ;           ;           ;           ;           ;           ;
  150;       [52];       [53];           ;           ;           ;           ;           ;           ;
  151;       [52];       [53];           ;           ;           ;           ;           ;           ;
  152;       [52];       [53];           ;           ;           ;           ;           ;           ;
