    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
  107;       [50];           ;     /S[44];     /S[38];           ;           ;     /R[38];           ;           ;     /R[44];           ;           ;     /S[46];     /R[46];           ;           ;
  108; [50]/S[39];           ;           ;           ;           ;           ;     /R[39];     /S[45];           ;     /R[45];           ;           ;     /S[46];     /R[46];           ;           ;
  109; [50]/S[39];           ;           ;           ;           ;           ;     /R[39];     /S[45];           ;     /R[45];           ;     /S[47];           ;     /R[47];           ;           ;
  110; [50]/S[39];           ;           ;           ;           ;           ;     /R[39];           ;           ;       [52];           ;           ;           ;     /R[49];     /S[49];           ;
  111;       [50];           ;           ;           ;           ;     /S[41];     /R[41];           ;           ;       [52];           ;           ;           ;       [53];           ;           ;
  112;       [50];           ;           ;           ;           ;     /S[41];     /R[41];           ;           ;       [52];           ;           ;           ;       [53];           ;           ;
  113;       [50];           ;           ;           ;           ;           ;       [51];           ;           ;       [52];           ;           ;           ;       [53];           ;           ;
  114;       [50];           ;           ;           ;           ;           ;       [51];           ;           ;       [52];           ;           ;           ;       [53];           ;           ;
  115;       [50];           ;           ;           ;           ;           ;       [51];           ;           ;       [52];           ;           ;           ;       [53];           ;           ;
  116;       [50];           ;           ;           ;           ;           ;       [51];           ;           ;       [52];           ;           ;           ;       [53];           ;           ;
  117;           ;           ;           ;           ;           ;           ;       [51];           ;           ;       [52];           ;           ;           ;       [53];           ;           ;
  118;           ;           ;           ;           ;           ;           ;       [51];           ;           ;       [52];           ;           ;           ;       [53];           ;           ;
  119;           ;           ;           ;           ;           ;           ;       [51];           ;           ;       [52];           ;           ;           ;       [53];           ;           ;
  120;           ;           ;           ;           ;           ;           ;       [51];           ;           ;       [52];           ;           ;           ;       [53];           ;           ;
  121;           ;           ;           ;           ;           ;           ;       [51];           ;           ;       [52];           ;           ;           ;       [53];           ;           ;
  122;           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ;           ;           ;       [53];           ;           ;
  123;           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ;           ;           ;           ;           ;           ;
  124;           ;           ;           ;           ;           ;           ;       [51];           ;           ;           ;           ;           ;           ;           ;           ;           ;
